14-day rolling mean,upper_band,lower_band,Average Daily Price
,,,74.58
,,,75.38
,,,76.37
,,,71.46
,,,69.42
,,,67.21
,,,65.33
,,,62.2
,,,61.39
,,,62.69
,,,61.09
,,,60.27
,,,59.97
66.03214285714286,78.42057462868853,53.6437110855972,60.21
65.025,76.51538059221046,53.534619407789556,60.91
63.88928571428572,73.4031766574867,54.37539477108474,60.88
62.739285714285714,69.45347030552801,56.02510112304342,60.0
62.042857142857144,67.42585847080647,56.65985581490782,60.12
61.375,65.29452705153228,57.455472948467715,59.76
60.925,63.752815139209005,58.09718486079099,59.68
60.45357142857142,62.52664580317514,58.3804970539677,58.92
60.19642857142856,62.80218087257815,57.590676270278976,58.01
60.078571428571415,62.53643613215056,57.62070672499227,59.01
59.84999999999999,61.82562064250155,57.87437935749843,59.59
59.76428571428571,61.78739397460408,57.741177453967346,59.32
59.503571428571426,61.88796436396002,57.11917849318283,57.88
59.21071428571428,62.24973704651434,56.17169152491422,56.36
58.935714285714276,62.06999829705367,55.80143027437488,56.87
58.64999999999999,61.72195753175798,55.578042468242,57.25
58.32857142857142,61.395695936519274,55.26144692062357,56.24
57.99285714285713,61.357116609403,54.628597676311266,55.11
57.55357142857141,61.264566378242634,53.842576478900185,54.52
57.124999999999986,61.27706158246926,52.97293841753071,53.74
56.66785714285713,60.91205809924971,52.42365618646455,53.68
56.35714285714285,60.721836368782746,51.99244934550295,53.74
56.07857142857142,60.64950203331797,51.50764082382487,53.73
55.753571428571426,59.71443075369378,51.79271210344907,54.87
55.60714285714285,59.103703176361755,52.11058253792394,56.66
55.421428571428564,58.38938935432199,52.453467788535136,56.85
55.49285714285713,58.675226154690094,52.31048813102417,57.8
55.52499999999999,58.73406168888649,52.31593831111349,57.16
55.53214285714285,58.75480471507204,52.30948099921366,56.74
55.53214285714285,58.75480471507204,52.30948099921366,57.05
55.59642857142857,58.91524770472923,52.277609438127904,56.78
55.80357142857142,59.35613589466016,52.251006962482684,57.65
56.074999999999996,59.631089035832936,52.518910964167056,58.28
56.403571428571425,59.738114249435746,53.069028607707104,57.98
56.75714285714286,59.80265838577947,53.711627328506246,58.36
57.128571428571426,59.96018262681595,54.2969602303269,58.95
57.642857142857146,60.241335142011565,55.04437914370273,60.34
58.089285714285715,61.19911592766482,54.97945550090661,61.25
58.432142857142864,62.2028002458297,54.66148546845603,62.16
58.65357142857143,62.25794148677647,55.0492013703664,60.44
58.73571428571429,62.338155460471185,55.13327311095739,59.19
58.95714285714286,62.299610196114074,55.61467551817165,59.25
59.14642857142858,62.30662921883524,55.98622792402192,59.63
59.31071428571429,62.20717859492074,56.41424997650784,59.64
59.275,62.2958888146985,56.2541111853015,57.64
59.2,62.39879785111673,56.00120214888327,57.02
59.15,62.45965952234478,55.84034047765522,57.13
58.989285714285714,62.729951753587244,55.248619674984184,56.32
58.81071428571429,62.88600164159098,54.7354269298376,55.63
58.42857142857143,63.29362962028843,53.56351323685443,54.74
57.85357142857142,63.41517942594818,52.29196343119466,53.06
57.17857142857142,62.9912517696236,51.365891087519245,51.69
56.539285714285704,61.926047060605,51.15252436796641,52.21
56.135714285714265,61.42887802941088,50.84255054201765,53.92
55.78214285714284,60.83503344538095,50.72925226890472,54.22
55.39999999999998,60.05121985653742,50.74878014346253,54.67
54.97499999999998,58.99834533594988,50.95165466405008,53.85
54.64642857142855,57.829427710053274,51.46342943280383,54.46
54.52857142857141,57.50765602873759,51.54948682840523,54.96
54.45714285714284,57.22115809222793,51.69312762205775,55.73
54.335714285714275,56.71234039184749,51.95908817958106,55.67
54.30357142857141,56.60890447166144,51.99823838548138,55.17
54.242857142857126,56.40150955113932,52.08420473457493,55.11
54.35357142857141,56.57253316974531,52.134609687397514,55.74
54.52142857142856,56.530911584052504,52.51194555880461,54.88
54.75357142857142,56.370055878859816,53.13708697828302,55.44
54.86785714285713,56.23314502056394,53.50256926515033,54.97
54.98571428571428,56.23374570262035,53.737682868808214,55.67
55.121428571428574,56.458310296658915,53.78454684619823,55.83
55.27142857142858,56.585678451495085,53.957178691362074,56.34
55.475,56.61162794129176,54.338372058708245,56.62
55.55357142857143,56.59240530565567,54.514737551487194,56.48
55.67142857142857,56.809385097376314,54.53347204548083,56.29
55.714285714285715,56.94681193271796,54.481759495853474,56.82
55.839285714285715,57.29169939313464,54.38687203543679,57.34
55.93571428571429,57.41294067398379,54.45848789744479,56.71
56.06428571428571,57.541512102555195,54.587059326016224,56.79
56.11428571428571,57.5336184781249,54.69495295044651,56.24
56.04285714285714,57.770842694282834,54.31487159143144,54.87
55.87142857142857,58.18650101944448,53.556356123412655,53.23
55.77499999999999,58.369001957178924,53.18099804282106,53.31
55.54285714285714,58.76724906951638,52.31846521619789,52.95
55.282142857142844,58.84964729471401,51.71463841957168,52.43
55.007142857142846,58.852591144075674,51.16169457021002,52.66
54.69999999999999,58.69846124248996,50.701538757510015,52.32
54.44999999999999,58.600440199082016,50.29955980091796,52.28
54.12142857142856,58.249887826910935,49.99296931594618,52.14
53.892857142857125,57.77731476124007,50.00839952447418,53.07
53.59285714285712,56.99599079896307,50.18972348675117,53.02
53.34999999999998,56.26336443097918,50.43663556902078,53.16
52.9892857142857,55.16685619232211,50.81171523624929,52.84
52.721428571428554,54.023919844522574,51.418937298334534,52.17
52.65357142857141,53.75214692978683,51.55499592735599,52.8
52.62857142857141,53.693909428901655,51.56323342824117,52.82
52.58214285714284,53.534554486686766,51.62973122759892,52.89
52.59642857142855,53.52996138632372,51.66289575653337,52.45
