,Date,Close Price,Open Price,High Price,Low Price,Total Traded Quantity,Month,Year,Day_Perc_Change,Trend
40,2019-08-28,1764.25,1755.0,1767.86,1744.05,2.42,8,2019,-0.012399238692342163,Slight or No change
41,2019-08-27,1761.83,1775.73,1779.4,1746.68,3.03,8,2019,-0.001371687685985612,Slight or No change
42,2019-08-26,1768.87,1766.91,1770.0,1743.51,3.09,8,2019,0.003995845229108452,Slight or No change
43,2019-08-23,1749.62,1793.03,1804.9,1745.23,5.28,8,2019,-0.010882653897686057,Slight or No change
44,2019-08-22,1805.6,1828.0,1829.41,1800.1,2.66,8,2019,0.03199551902698872,Slight or No change
45,2019-08-21,1823.54,1819.39,1829.58,1815.0,2.04,8,2019,0.009935755427558757,Slight or No change
46,2019-08-20,1801.38,1814.5,1816.82,1799.88,1.93,8,2019,-0.01215218750342728,Slight or No change
47,2019-08-19,1816.12,1818.08,1826.0,1812.61,2.82,8,2019,0.008182615550300198,Slight or No change
48,2019-08-16,1792.57,1792.89,1802.91,1784.55,3.05,8,2019,-0.012967204810254818,Slight or No change
49,2019-08-15,1776.12,1781.99,1788.0,1761.96,3.81,8,2019,-0.009176768550182124,Slight or No change
50,2019-08-14,1762.96,1793.01,1795.65,1757.21,4.89,8,2019,-0.0074094092741480155,Slight or No change
51,2019-08-13,1824.34,1783.0,1831.74,1780.0,4.08,8,2019,0.03481644506965553,Slight or No change
52,2019-08-12,1784.92,1795.99,1800.98,1777.0,2.91,8,2019,-0.021607814332854525,Slight or No change
53,2019-08-09,1807.58,1828.95,1831.09,1802.22,2.88,8,2019,0.012695246845797037,Slight or No change
54,2019-08-08,1832.89,1806.0,1834.26,1798.11,3.7,8,2019,0.01400214651633691,Slight or No change
55,2019-08-07,1793.4,1773.99,1798.93,1757.0,4.53,8,2019,-0.021545210023514727,Slight or No change
56,2019-08-06,1787.83,1792.23,1793.77,1753.4,5.07,8,2019,-0.003105832496933303,Slight or No change
57,2019-08-05,1765.13,1770.22,1788.67,1748.78,6.06,8,2019,-0.012696956645765978,Slight or No change
58,2019-08-02,1823.24,1845.07,1846.36,1808.02,4.96,8,2019,0.03292108796519222,Slight or No change
59,2019-08-01,1855.32,1871.72,1897.92,1844.01,4.71,8,2019,0.017595050569316095,Slight or No change
60,2019-07-31,1866.78,1898.11,1899.55,1849.44,4.47,7,2019,0.00617683202897612,Slight or No change
61,2019-07-30,1898.53,1891.12,1909.89,1883.48,2.91,7,2019,0.017007895949174623,Slight or No change
